                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.23148,                0.40767,                0.20776,                0.91438,                0.99888,                      1,                  0.995,                0.97615,                0.99888,                      1,                  0.995,                0.96997,                0.24357,                0.31058,                0.28088,                0.68537,              0.0008714,              0.0008714,              0.0008714
                     60,                0.23995,                 0.3748,                0.20571,                0.91651,                0.99885,                      1,                  0.995,                0.98959,                0.99885,                      1,                  0.995,                0.98843,                0.22866,                 0.3054,                0.26576,                0.68064,              0.0008516,              0.0008516,              0.0008516
                     61,                0.23176,                0.40472,                0.20723,                0.91383,                0.99898,                      1,                  0.995,                  0.995,                0.99898,                      1,                  0.995,                0.98694,                0.21437,                0.31641,                0.28114,                0.65589,              0.0008318,              0.0008318,              0.0008318
                     62,                0.23513,                0.40328,                0.21193,                0.91126,                0.99895,                      1,                  0.995,                0.99355,                0.99895,                      1,                  0.995,                 0.9872,                0.24446,                 0.3322,                0.27077,                0.67169,               0.000812,               0.000812,               0.000812
                     63,                 0.2368,                0.39391,                0.21196,                 0.9264,                0.99885,                      1,                  0.995,                  0.995,                0.99885,                      1,                  0.995,                0.99039,                 0.2145,                0.29112,                0.25651,                0.65378,              0.0007922,              0.0007922,              0.0007922
                     64,                0.23495,                0.38875,                0.21237,                0.91423,                0.99879,                      1,                  0.995,                  0.995,                0.99879,                      1,                  0.995,                0.99136,                0.17676,                0.29747,                0.25164,                0.61703,              0.0007724,              0.0007724,              0.0007724
                     65,                0.23007,                0.36704,                0.20074,                0.91864,                 0.9989,                      1,                  0.995,                  0.995,                 0.9989,                      1,                  0.995,                0.99181,                0.19232,                 0.3059,                0.26087,                0.63417,              0.0007526,              0.0007526,              0.0007526
                     66,                 0.2265,                0.37493,                0.19948,                0.91881,                0.99885,                      1,                  0.995,                  0.995,                0.99885,                      1,                  0.995,                0.98911,                0.18688,                0.29008,                0.23299,                0.63383,              0.0007328,              0.0007328,              0.0007328
                     67,                0.23456,                0.41249,                0.20837,                0.91286,                0.99869,                      1,                  0.995,                  0.995,                0.99869,                      1,                  0.995,                0.99028,                0.15242,                0.28863,                0.21561,                0.59134,               0.000713,               0.000713,               0.000713
                     68,                 0.2246,                0.38765,                0.19733,                 0.9139,                0.99887,                      1,                  0.995,                  0.995,                0.99887,                      1,                  0.995,                0.99094,                0.18223,                0.30422,                0.24281,                0.62127,              0.0006932,              0.0006932,              0.0006932
                     69,                0.23003,                0.39629,                0.19747,                0.92458,                0.99896,                      1,                  0.995,                0.99057,                0.99896,                      1,                  0.995,                0.98716,                 0.1628,                 0.3066,                0.22451,                0.60781,              0.0006734,              0.0006734,              0.0006734
